,Country_x,ISO3,SFS index 2000-2003,SFS index 2004-2006,SFS index 2007-2009,SFS index 2010-2012,SFS index 2013-2016,CGIAR,Latitude,Longitude,Region Code,Region_n,Sub-region Code,Sub-region Name,No ,BCFN,food_loss_waste,sustainable_ag,nutrition_challenge,compare_countries
72,Senegal,SEN,0.3139,0.2819,0.3156,0.327,0.3233,0.3236,14.35710542,-14.4780169,2,Africa,202,Sub-Saharan Africa,38.0,65.8,70.9,65.3,61.1,True
73,Sierra Leone,SLE,0.428,0.428,0.4507,0.4645,0.4549,0.4558,8.571898577,-11.77850059,2,Africa,202,Sub-Saharan Africa,61.0,58.8,64.5,66.8,44.9,True
74,Slovakia,SVK,0.5908,0.5747,0.5906,0.5971,0.6001,0.5894,48.70609262,19.49110883,150,Europe,151,Eastern Europe,55.0,61.4,60.2,54.6,69.6,True
75,South Africa,ZAF,0.5298,0.5261,0.5281,0.5364,0.5387,0.5346,-28.99235649,25.09025016,2,Africa,202,Sub-Saharan Africa,63.0,56.4,60.5,52.4,56.3,True
76,Spain,ESP,0.6086,0.6182,0.6398,0.6607,0.6552,0.6481,40.3097875,-3.578125378,150,Europe,39,Southern Europe,19.0,70.9,78.9,66.6,67.3,True
77,Sri Lanka,LKA,0.3707,0.3621,0.3801,0.374,0.3598,0.3571,7.617249894,80.70787736,142,Asia,34,Southern Asia,,,,,,False
78,Sudan,SDN,0.3273,0.3066,0.2991,0.3066,0.3127,0.3114,16.04892872,30.00339118,2,Africa,15,Northern Africa,57.0,60.9,68.7,59.7,54.2,True
79,Sweden,SWE,0.6793,0.6798,0.6847,0.7009,0.6952,0.6892,62.88018421,16.72425629,150,Europe,154,Northern Europe,8.0,73.4,75.0,72.7,72.4,True
80,Switzerland,CHE,0.7058,0.6988,0.7174,0.7317,0.7244,0.7219,46.80615952,8.243637777,150,Europe,155,Western Europe,,,,,,False
81,Tajikistan,TJK,0.4212,0.426,0.443,0.4614,0.4626,0.453,38.52699814,71.04232577,142,Asia,143,Central Asia,,,,,,False
82,Thailand,THA,0.4785,0.4741,0.4891,0.4968,0.4819,0.4827,15.15949511,101.020107,142,Asia,35,South-eastern Asia,,,,,,False
83,Togo,TGO,0.4707,0.4644,0.4789,0.4692,0.4688,0.4715,8.541637601,0.97409513,2,Africa,202,Sub-Saharan Africa,,,,,,False
84,Tunisia,TUN,0.3737,0.3711,0.3771,0.392,0.386,0.3847,34.10810736,9.557630913,2,Africa,15,Northern Africa,52.0,62.3,55.7,70.1,61.3,True
85,Turkey,TUR,0.4299,0.4008,0.4258,0.4639,0.4675,0.4647,38.91218946,35.69849765,142,Asia,145,Western Asia,58.0,60.1,48.2,68.3,63.7,True
86,Uganda,UGA,0.4526,0.4309,0.4449,0.4508,0.4339,0.443,1.280667326,32.38662225,2,Africa,202,Sub-Saharan Africa,25.0,68.7,77.1,68.9,60.2,True
87,Ukraine,UKR,0.5164,0.5137,0.5369,0.5456,0.5462,0.5397,49.01900507,31.37809941,150,Europe,151,Eastern Europe,,,,,,False
88,United Arab Emirates,ARE,0.5073,0.5015,0.5115,0.5238,0.5159,0.5161,23.90525867,54.35072869,142,Asia,145,Western Asia,,,,,,False
89,United Kingdom,GBR,0.7048,0.7006,0.7066,0.7212,0.7184,0.7111,53.75504855,-2.103843405,150,Europe,154,Northern Europe,24.0,70.0,78.9,61.5,69.7,True
90,Tanzania,TZA,0.4226,0.4168,0.4377,0.4239,0.4014,0.4079,-6.273241244,34.79620168,2,Africa,202,Sub-Saharan Africa,30.0,67.4,70.3,70.5,61.3,True
91,United States,USA,0.7009,0.6986,0.7051,0.7134,0.7034,0.6969,45.73643438,-112.404207,19,Americas,21,Northern America,26.0,68.6,77.7,68.6,59.5,True
92,Uruguay,URY,0.5669,0.5602,0.5745,0.5878,0.5763,0.575,-32.80198719,-56.01417232,19,Americas,419,Latin America and the Caribbean,,,,,,False
93,Venezuela,VEN,0.6028,0.5789,0.5954,0.5982,0.5926,0.5901,7.115201972,-66.18367077,19,Americas,419,Latin America and the Caribbean,,,,,,False
94,Viet Nam,VNM,0.4039,0.4038,0.425,0.4338,0.4289,0.4277,16.64893259,106.3103686,142,Asia,35,South-eastern Asia,,,,,,False
95,Yemen,YEM,0.3014,0.2915,0.3029,0.306,,0.3087,15.96506363,47.50305348,142,Asia,145,Western Asia,,,,,,False
96,Zambia,ZMB,0.4501,0.426,0.4247,0.4156,0.3952,0.4097,-13.45369192,27.80039565,2,Africa,202,Sub-Saharan Africa,32.0,67.2,77.9,72.7,51.1,True
97,Croatia,HRV,,,,,,,45.18877041,16.42353441,150,Europe,39,Southern Europe,14.0,71.4,77.1,66.3,70.9,False
98,Ireland,IRL,,,,,,,53.16969376,-8.154213185,150,Europe,154,Northern Europe,18.0,71.0,64.4,76.4,72.1,False
99,Estonia,EST,,,,,,,58.70758667,26.168216,150,Europe,154,Northern Europe,20.0,70.8,73.7,69.6,69.0,False
100,Portugal,PRT,,,,,,,39.23901506,-30.21832194,150,Europe,39,Southern Europe,21.0,70.6,70.0,69.7,71.9,False
101,China,CHN,,,,,,,36.67464756,103.8680636,142,Asia,30,Eastern Asia,23.0,70.2,82.4,60.7,67.5,False
102,Luxembourg,LUX,,,,,,,49.77027091,6.08637699,150,Europe,155,Western Europe,29.0,67.9,83.2,53.6,67.0,False
103,Zimbabwe,ZWE,,,,,,,-19.00126774,29.86951021,2,Africa,202,Sub-Saharan Africa,31.0,67.3,78.2,70.5,53.2,False
104,Cyprus,CYP,,,,,,,35.01941238,33.1666508,142,Asia,145,Western Asia,37.0,65.8,65.7,63.9,67.7,False
105,Lithuania,LTU,,,,,,,55.3344892,23.90739502,150,Europe,154,Northern Europe,41.0,65.3,66.9,66.5,62.5,False
106,Israel,ISR,,,,,,,31.33857325,34.96023155,142,Asia,145,Western Asia,42.0,64.6,52.5,78.3,62.9,False
107,Lebanon,LBN,,,,,,,33.91995955,35.88513386,142,Asia,145,Western Asia,51.0,62.4,64.5,65.1,57.6,False
108,Latvia,LVA,,,,,,,56.85765774,24.92335393,150,Europe,154,Northern Europe,53.0,61.9,68.2,53.7,63.8,False
109,Malta,MLT,,,,,,,35.90417953,14.42365795,150,Europe,39,Southern Europe,54.0,61.5,45.2,70.8,68.5,False
110,Slovenia,SVN,,,,,,,46.123589,14.82836958,150,Europe,39,Southern Europe,56.0,60.9,52.8,63.0,67.0,False
